,Asset Name,Main Category,Date,Bell Labs People,Keywords,,,,,,Description
89,Taking ship to shore readings,Wireless,1924,NA,mobile,radio,,,,,"Mobile Radio Telephone, 1924"
90,Thompson Ritchie Unix Inventors,Computer,1972,Ken Thompson,UNIX,inventor,computer program,teletypewriter,,,"Ken Thompson who helped develop unix and is a member of the computing science research center at Bell Labs, uses a teletypewriter to run a program on a unix based computer system"
91,Another Davisson and Germer,Phsics,9487,"C. J. Davisson, L. Hhermer",electronics tubes,electron vacuum,electron diffration,,,,"tubes, Dr. Clinton J. DAvisson and L. H. Germer with tube used in electronic diffraction work."
92,Davisson and Germer,Phsics,NA,"Dr. Clinton Davisson (L), Dr. Lester Germer",wave matter,wave tube,quantum physics,,,,"Experiments by Dr. Clinton Davisson (left) and Dr. Lester Germer (right) led to the discovery of the wave nature of matter. Dr. Davisson and Professor G. P. Thompson, a British scientist, shared the 1937 Nobel Prize in physics for the work."
93,Zone,Physics,1954,"W. G. Pfann (L), J. H. Scaff",,,,,,," The purest substances in the world, 99.99999 percent pure, are being made at Bell Labs by means of a new and extremely simple refining method developed there. These substances have only one atom of impurity in ten billion atoms of the material, about the same as a pinch of salt in 35 freight cars of sugar. The new process is already in use in the refining of germanium for transistors. W. G. Pfann, left, inventor of the so called zone melting process, is shown operating the refining equipment, while J. H. Scaff, who was closely associated with the development, holds a large single crystals of germanium purified by this technique"
94,i-2cbjQXj.jpg,Networks,2009,,Echo Cancellation,Network,,,,,"This picture shows the operation of the first application called Packet Acoustic Echo Cancellation in action on a Alcatel-Lucent 9980 platform. Specifically, it uses the forward signal as a reference for detecting and suppressing the echo in the reverse direction."";"
95,i-5wx6QTs-X2.jpg,Optical,2009,,Optical,MEMS,Microlense,,,,"The picture shows a collage of pictures of a linear array of Silicon microlenses. The lenses where used in a micromachine based 1xK switch with Dynamic Gain Equalization. The light collimated by the center lens was redirected by a tilting MEMS mirror to any of the other lenses. By shifting the beam towards the empty space between lenses the outgoing light intensity could be continuously attenuated."";"
96,i-5z2gd4p-XL.png,Physics,2009,,,Nanograss,,,,,"Mathematical modeling of near slip boundary condition provided by nanograss patterned surface under pressure driven fluid flow within a micro-channel. Analytic solutions of the fluid mechanics problems can be obtained using Schwarz0-Christoffel transformation, one of the constructive conformal mapping theory from complex analysis.The contour plots show the cross sectional velocity field of the fluid flow through circular pipe. Red color indicates higher the velocity region and as the velocity approaches zero the color becomes dark blue."";"
97,i-95Mp644.png,Optical,2009,,Sol-Gel,Fiber,Lightwave,,,,An optical fiber pre-form created by the sol-gel process developed at Bell Labs.  This pre-form contains a series of air holes.  The placement and size of these holes have been selected to create a microstructured multimode optical fiber.  This type of multimode fiber requires no chemical doping significantly lowering the cost of producing high bandwidth multimode optical fiber.  A computed fundamental optical mode profile is super imposed on the image
98,i-BF4Kvcp-XL,Physics,,,Magnetometer,Device,,,,,This picture shows the mechanical part of a micromachine based magnetometer. The device is entirely fabricated in single crystal silicon and suspended over a silicon substrate to allow it to move
99,i-d5DKgXs-XL,Physics,2009,,Controlled Knot,Quantum Computing,,,,,"This picture is a blueprint of instructions for moving particles around each other in order to perform a particularly simple quantum computation known as a controlled NOT.   In the approach of topological quantum computing, all computations are reduced to knots in this way "
100,i-DbBZqbk-XL,Optical,2009,,Optical,Lightwave,DWDM,Network,Device,,This is a picture of a 12x10Gb/s DWDM receiver module developed to increase the density of optical transmission systems. The module is a hybrid assembly of a 12 wavelength arrayed waveguide grating demultiplexing filter mounted vertically above a detector array. Laser cut silicon spacers provide a stable platform to couple the filter outputs to the detectors with a simple in-plane alignment. The detector array is wirebonded to an array of transimpedance amplifiers that provide 12 differential electrical outputs at 10Gb/s
101,i-fcx4v2j-XL,Wireless,2009,,Wireless,Base Station,Network,,,,"This shows simulated results of an unsuccessful attempt to synchronize TDD base stations by passively observing the TDD cycle of neighboring base stations and adjusting to match. Each dot represents a base station, color-coded to show TDD phase at one instant in time. The red and blue contour lines indicate phase disagreement, 0.05 cycle per contour line.<"
102,i-FkwrZp4-XL,Wireless,2009,,Wireless,Netwo4rk,,,,,This is not a satellite weather map! It shows the population distribution of wireless data subscribers by their resource consumption in a weekday in a major North America service provider. The higher the color temperature the denser the population. The islands are the clusters of devices/applications sharing similar resource usage pattern.  
103,i-Fr2Hnwr-XL,Physics,2009,,Physics,Metal Interconnects,Divice,,,,"Reliability physics of metal interconnects. Crater on the SEM image is created by \""explosion\"" of 2&mu;m wide Aluminum interconnect wire during high voltage and high current test"
104,i-kNjVF99-XL,Optical,2009,,Optical,Network,,,,,Microsecond scale simulated optical power traces for channels in an optical mesh network experiencing an uncontrolled optical power transient.  Cycles in the mesh give rise to the complex transient time dependence as channels trade power as they propagate through the network.  Simulations such as these help to guide the development of power control algorithms in transparent optical mesh networks
105,i-kTdDdrt-XL,Physics,2009,,Spacers,Device,,,,,"A combination of dry etched circular trenches, an oxide mask and wet etching is used to micromachine narrow, high uniformity spacers.  In over-etched samples the cake-pan shaped etch mask ends up sitting on the tip of a Silicon pyramid.  This figure shows two cake-pan etch masks gathered next to one still sitting on its pyramid. The cake-pans are 0.0005\"" across."";"
106,i-LvMxFSm-XL,Optical,2009,,Optical,Networks,,,,,"Sparsity patterns for a collage of matrices arising from finite element discretizations of the mass, momentum and energy transport equations for several different applications. The following descriptions are given clockwise from the upper-left matrix: (Blue matrix) buoyancy-driven thermal transport problem; (Red matrix) convective transport problem with multiple chemical species; (Multi-colored matrix) expanded view of the buoyancy-driven thermal transport matrix along the matrix diagonal near the lower right corner of the matrix, with matrix entries colored according to their equation and variable type; (Green matrix) flow of a highly-elastic polymeric liquid."";"
107,i-M7LQRVW-XL,Optical,2009,,Optical ,Device,Lightwave,,,,"This collage of images illustrate a polarisation rotation plate integrated with into a planar lightwave polarisation control circuit. The rotation plate is inserted into a shallow slot cut into the circuit and epoxied in place. The upper image is taken with unpolarised light. The lower two images are take with crossed polarisers in parallel and crossed states showing the rotation of the polarisation state of the light passing through the plate."";"
108,i-MfXbDLJ-XL,Optical,2009,,Diffraction,Microfluidics,,,,,Diffraction pattern associated with a confocal image of the gas/liquid interface of a water layer in contact with a superhydrophobic surface consisting of an array of 40 &mu;m diameter posts with 48.9 &mu;m post-to-post pitch. Measurements of the corresponding 3D image reconstruction show a partial wetting depth of approximately 10 &mu;m
109,i-mw8D2Tx,Physics,2009,,Heat Sink,Energy,,,,,"Numerical simulation of fluid flow and heat transfer in a porous, three-dimensional aluminum heat sink design that is 3 cm in length and width and 2.2 cm tall. Air flow direction is from left to right with a inlet mean velocity of 0.8 m/s and temperature of 300 K and an incident heat flux of 15 Watts at the base of the heat sink (bright red region). Colored traces correspond to temperature contours along streaklines in the flow. Computational grid consists of 3 million tetrahedral elements and flow field is described by the standard k-epsilon turbulence model"
110,i-N5sgwNh-XL,Optical,2009,,Optical,Lightwave,Modulation,Device,,,"Silicon-Micromachined Spatial Light Modulator (SLM) for free-space optical wavefront control at 1.55 &mu;m wavelength.  Partial view of a Piston-Tip-Tilt, 4096-element micromirror array. Most of the 120 &mu;m x 120 &mu;m mirrors have been removed to reveal the interleaved groups of four electrostatic comb-drive actuators that drive them.  Nomarski filtering is used to verify the motion of one of the actuators in the lower right corner (yellow and red coloring correspond to &plusmn; 5&deg; mechanical tilts"
111,i-nMtsSLp-X2,Optical,,,Optical,Lightwave,,,,,A picture of a monolithically integrated wavelength selective switch. 
112,i-Nr6sCgd-XL,Optical,2009,,Optical,Switching,MEMS,Lightwave,Device,,The picture shows a four by four array of surface micromachined two axis tilting mirrors. These mirrors where used in an all-optical switch
113,i-nshC7Vp-XL,Physics,2009,,Fractal,,,,,,"A fractal is a self-similar semi-geometric object, i.e., the parts of the image resemble the whole, displaying a beautiful blend of chaos and order that extends to the infinite. In fact, for XIX century mathematicians, Cantor and Dedekind, the basic axiom that defines infinite is that the part is equal to the whole. This optical microscope picture shows the fractal structures formed when a photoresists enclosed between two flat surfaces was annealed for a few minutes. The color scale has been chosen to emphasize the structures. Image size: 1mm x 1.4mm"
114,i-qgbC8kW,Optical,2009,,Power,Network,,,,,"The simulated transient power coupling in an optically transparent mesh network.  A 3dB decrease in optical power at the output of one node (X axis) of the network results in an output power change at all other nodes in the network (Y axis).  Figures such as this show critical power coupling paths in the network.  The power coupling is a complex interplay between amplifier physics, network topology, and network channel loading."";"
115,i-qM4p5Jc-XL,Physics,2009,,Wireless,Mimo,,,,,"This is a visual representation of a 32x32 matrix suitable for denoising a smooth signal that has been modulated by a particular Walsh-Hadamard pilot sequence. This filter, based on the Discrete Cosine Transform, can be used for efficient estimation of crosstalk channels in a Multiple-Input, Multiple Output Orthogonal Frequency Division Multiplexing application.  Possible applications in Next Generation Quilt Design are also being explored"
116,i-ssWt9wv-XL,Optical,2009,,Infrarred Sensor,,,,,,"The image shows a false color SEM of free standing micromachined pixels in an infrared (IR) sensor array. The paddles are designed to absorb long wave IR radiation causing a temperature increase. The golden bimorph arms (40um long) are thermal actuators that deflect the paddles as the temperature changes. These deflections are read out with visible light to generate a visible image of the IR scene for night vision applications."";"
117,i-tL6fRFW-XL,Optical,2009,,Optical,DWDM,Device,Lightwave,,,"This is a picture of a wafer of submounts for high-speed DWDM laser arrays. The submounts are created on silicon wafers which provide good thermal conductivity and a stable alignment platform. The laser array is flip-chip bonded to the submount via 60 solder bumps deposited onto the submount. Each chip has a recessed trench with high-delectric material to enable each laser to be modulated with a 10Gb/s RF signal."";"
118,i-TQ3CJ8V-XL,Physics,2009,,,,,,,,"Constant mean curvature surface associated with solution of the Young-Laplace equation for the gas/liquid interface shape of a pressurized fluid in contact with a superhydrophobic surface consisting of an array of circular posts of diameter 0.38 micron and 0.9 micron pitch. Color contours correspond to the depth of interface deflection into the superhydrophobic surface while triangles correspond to mesh tessellation of the interface. The gas/liquid interface is assumed to be pinned at the top, outer-periphery of the post (hollow, white circle in figure) and the domain depicts the unit cell surrounding a single post."";"
119,i-W78Vqwc-XL,Optical,2009,,Optical,MEMS,Device,,,,Micromachined test structures (modified Guckel Rings) used to determine the critical length for buckling in microbeams of different shapes (straight or waving diametral beams inside the rings) used as springs in micromirror arrays. Silicon oxide under the 100nm-thick polysilicon structures has been etched away in vapor-phase hydrofluoric acid to free the structures. Nomarski-filter coloring and interference fringes show that the structures are fully released
120,i-vtmN8pS-XL,Optical,2009,,Optical,MEMS,Device,,,,Micromachined test structures (modified Guckel Rings) used to determine the critical length for buckling in microbeams of different shapes (straight or waving diametral beams inside the rings) used as springs in micromirror arrays. Silicon oxide under the 100nm-thick polysilicon structures has been etched away in vapor-phase hydrofluoric acid to free the structures. Nomarski-filter coloring and interference fringes show that the structures are fully released
121,i-Vzv3WGh,Optical,2009,,Optical,MEMS,Device,,,,Micromachined test structures (modified Guckel Rings) used to determine the critical length for buckling in microbeams of different shapes (straight or waving diametral beams inside the rings) used as springs in micromirror arrays. Silicon oxide under the 100nm-thick polysilicon structures has been etched away in vapor-phase hydrofluoric acid to free the structures. Nomarski-filter coloring and interference fringes show that the structures are fully released
122,i-vTBpq6B-XL,Optical,2009,,Optical,MEMS,Device,,,,Micromachined test structures (modified Guckel Rings) used to determine the critical length for buckling in microbeams of different shapes (straight or waving diametral beams inside the rings) used as springs in micromirror arrays. Silicon oxide under the 100nm-thick polysilicon structures has been etched away in vapor-phase hydrofluoric acid to free the structures. Nomarski-filter coloring and interference fringes show that the structures are fully released
123,i-wcGLtJG-XL,Optical,2009,,Optical,Lightwave ,DWDM,Device,Laser,,"This is a picture of a 10x10Gb/s DWDM transmitter module developed to increase the density of optical transmission systems. The module is a hybrid assembly of a 10 wavelength laser array that is flip-chip bonded to a silicon submount and optically coupled to an arrayed waveguide grating multiplexing filter. A ceramic fanout board is used to provide all the control signals and input RF data signals. The 10 wavelengths are output on a single optical fibre."";"
124,i-ZtdfQR8-XL,Physics,2009,,Spacer,Device,,,,,"A combination of dry etched circular trenches, an oxide mask and wet etching is used to micromachine narrow, high uniformity spacers.  In over-etched samples the cake-pan shaped etch mask ends up sitting on the tip of a Silicon pyramid. This figure shows a side view of a cake-pan sitting on the tip of its pyramid while a second cake-pan behind it lost its balance.  The cake-pans are 0.0005\"" across."";"
125,i-x2gkCsT-XL,Physics,2009,,Spacer,Device,,,,,"A combination of dry etched circular trenches, an oxide mask and wet etching is used to micromachine narrow, high uniformity spacers.  In over-etched samples the cake-pan shaped etch mask ends up sitting on the tip of a Silicon pyramid. This figure shows a side view of a cake-pan sitting on the tip of its pyramid while a second cake-pan behind it lost its balance.  The cake-pans are 0.0005\"" across."";"
,Video,,,,,,,,,,
1,Bell_Labs_In_Touch_With_the_Future,MULTI-MEDIA,,Wireless,Networks ,Computing,,,,,"This film briefly covers the Labs' research foci for the late 1980s. At the time, The company was a major source of information age technologies: microelectronics, lightwave, and software, with an eye towards future developments. The ultimate goal was to provide instant, inexpensive access to voice, image and data services anywhere in the telephone/data network. Microwaves, lasers, and fiber optics were all still in play in the late '80s in terms of data and voice communications for AT&T."
2,Horn Antenna-1,Physics,Nobel,Arno Penzias,Robert Wilson,Holmdel,,,,,
3,Inventing the future (HD),MULTI-MEDIA,,Marcus Weldon,Bell Labs,,,,,,"Marcus Weldon, Alcatel-Lucent’s Chief Technical Officer and President of Bell Labs, shares his inside view of how the company has changed its approach to commercializing Bell Labs innovations to get paradigm-changing technologies to market faster than ever."
5,laser,Optical,Lightwave,Arthur Schawlow,,,,,,,"Made 19 years after the laser was invented, this 1979 film documents the various uses that had developed for this particular bit of technology conceived of at Bell Laboratories."
6,Marcus Weldon on innovation (HD),MULTI-MEDIA,,,,,,,,,"Marcus Weldon, Alcatel-Lucent CTO and President of Bell Labs, discusses Alcatel-Lucent’s ability to harness its innovation towards technologies for an ultra-connected, cloud shifted world. He also discusses Bell Labs vision and where future innovation can take u"
8,Solar_cell,Physics,Solar Energy,,,,,,,,"In the early 1950s, while working on semiconductor research, Bell Labs scientist Russell Ohl discovered that sunlight striking a wafer of silicon would produce large numbers of free electrons. In 1954, G.L. Pearson, C.S. Fuller, and D.M. Chapin did a test with strips of silicon placed in sunlight, where they captured the free electrons in the strips and turned them into electrical current. This 1978 film interviews Pearson, Fuller and Chapin about their invention, how they came to create it, and what they see for applications for the technology."
9,telstar,Wireless,Satellites,Broadband,Television,,,,,,"The story of how the Bell System, in cooperation with NASA, developed the Telstar satellite and participated in the launch and the subsequent successful transmission of signals to and from the earth and space. The film is from 1962."
10,The Shannon Limit - Bell Labs (HD),Multi Media,Networking,,,,,,,,Claude Shannon’s creation in the 1940’s of the subject of information theory is arguably one of the great intellectual achievements of the twentieth century. Discover who was Claude Shannon and what is the Shannon Limit.
11,"Copper, Future Impossible - The Many Lives of Copper",Physics,Cable,"Paul Spruyt, Carl Nuzman, Jochen Maes, Peter vetter, Willem Verbiest, ",DSL,Capacity,Vectoring,H.O.P.E.,,,100 mgbs
12,"Optical,  Future Impossible - The Story of Light",Optical,Laser,"Peter Winzer, Andy Chraplyvy, Herwig Kolgelnik, Andreas Leven, Sebastien Bigo",Crawford Hill,Bandwitch,100G ,400G,,,A review of fiber optic and Laser technology - Challenge - Funamental limit of fiber -Special Multiplexing
13,"Wireless, Future Impossible - The Network of You",Wireless,,"Dick Frenkiel, Jerry Foshini, Tod Sizer, Oliver Blume, Hardy HalbauerMarcus Weldon,",Cellular,MIMO,Millimeter Waves,Beam Forming,,,
14,tod_sizer_lightradio_1,Wireless,,,,,,,,,"Tod Sizer, Head of Wireless Research for Alcatel-Lucent Bell Labs, talks about developing the lightRadio antenna module."
15,transistor,Physics,Microelectronics,Walter Brattain,William Shockley,Nobel,Vacuum Tube,,,,"lightRadio represents a new architecture where the base station, typically located at the base of each cell"
16,CCD,Physics,"George Smith, Willard Boyle",Solid State Camera,Pixel,,,,,,"In 1969, Willard Boyle and George E. Smith invented the charge coupled device, which makes modern-day digital photography possible. Originally created for use in picturephones, the CCD evolved to allow camera makers to do away with bulky vacuum tubes, and to enable new types of computer storage."
17,Information_Theory,Multi-Media,Claude Shannon,Mathematics,Networking,,,,,,A documentary on the development of Information Theory by Claude Shannon.
18,Unix_making_computers_easier.mp4,Computing,Dennis Ritchie,Operating System,Software,,,,,,"This 23-minute film about UNIX was designed for students with an interest in engineering, math, computer science or other sciences. The film was made available to the public in December 1982. It covers different ways that UNIX could be employed practically in a computing environment. Another film about UNIX released at the same time, “The UNIX System: Making Computers More Productive,” was aimed at computer science majors and corporate trainees, and presented a more detailed discussion of the UNIX system and its various applications."
19,50th_ann_remotecomputing,Computing,,George Stibitz,Internet,Electrical Digital Computer,,,,,"George Stibitz, back in 1940, put together a neat and unusual project. He imagined that one could use radio relays to transmit information to computers. So an experiment was set up—one that ended up being, essentially, the first data transmitted over a phone line, a proto-modem. He presented this at a symposium at Dartmouth College in September, 1940. After presenting his paper, he demonstrated his system, which was connected via the phone lines to the computer at Bell Labs in NYC. The system was open to members of the audience for the next few hours. It did simple calculations in NYC and transmitted the solutions back to New Hampshire."
20,A_Fundamental_Scientst,Physics,,Philip Anderson,,,,,,,"This film profiles Philip W. Anderson, winner of the Nobel Prize in Physics in 1977. Anderson has been referred to as ""the most creative physicist in the world."""
21,AMPS,Wireless,,,Mobile Telephones,Cellular ,Chicago,Wireless,,,"Describes the planned introduction of AMPS--advanced mobile phone service;
later known as cellular telephone service, and how it will vastly increase
the availability of car and other mobile telephones."
22,FAR_Sound,Multi-Media,,,Bell Labs,,,,,,"This film, The Far Sound, examines how technologies invented at Bell Laboratories and developed by the Bell System contributed to making direct-dial, long-distance telephone service possible. It depicts how the various fields and departments at the Labs came together in this singular enterprise, culminating in common service for all. The film’s title, The Far Sound, is the alternate translation of the Greek “Telephone.”"
23,Negative_Feedback,Physics,,Harold Black,Amplifier,Vacuum Tube,Static,,,,The history of the Negative Feedback Amplifier with Harold Black talking about his work on the discovery of the Negative Feedback Amplifier which
24,Bell Labs 5G and more -- Tod Sizer (HD),Wireless,,Tod Sizer,Mobile,5G,Wireless Networks,Cloud,,,
25,Addressing the Future Innovation and Partnerships -- Marcus Weldon (HD),Wireless,,,Cloud,Virtualized Network,LTE,SDN,,,Addressing the Future: Innovation and Partnerships
26,computer_graphics_animation_bell-labs.mp4,Computing,,Michael Noll,Computer Art,,,,,,Historical piece on Harold Black and his work
27,Alcatel Lucent - Marcus Weldon - ENGLISH CLEAN - MASTER,Multi-Media,,Marcus Weldon,,,,,,,
28,Matter_Waves,Physics,,Lester Germer,Wave Nature of Matter,Nobel,,,,,"Shown in college classrooms (occasionally, still!), this 28-minute film gives both historical and scientific insight to the wave nature of elementary, atomic-level particles. The film’s guides are Lester Germer and Alan Holden, both Bell Laboratories scientists."
,,,,,,,,,,,
,CATEGORY LIST,Multi-Media,,,,,,,,,
,,Medical Technology,,,,,,,,,
,this means there's multiple files for these assets and we still need to determine which is best,Physics,,,,,,,,,
,,Mathematics,,,,,,,,,
,,Wireless,,,,,,,,,
,,Physics,,,,,,,,,
,,Optical,,,,,,,,,
,,Computing,,,,,,,,,
